cost,depth,tqc3TT,tqc3Depth,tqc3Qubits,tqc2TT,tqc2Depth,tqc2Qubits,tqc1TT,tqc1Depth,tqc1Qubits,tqc0TT,tqc0Depth,tqc0Qubits
11,8,0.03802490234375,3,{109: 3},0.030426502227783203,3,{13: 3},0.03390979766845703,3,{0: 3},0.036902666091918945,30,{0: 30}
11,9,0.04587841033935547,2,{109: 2},0.03896975517272949,2,{13: 2},0.029437780380249023,2,{0: 2},0.023933887481689453,25,{0: 25}
11,10,0.04526472091674805,3,{113: 3},0.03942155838012695,3,{13: 3},0.02528071403503418,3,{0: 3},0.02395939826965332,48,{0: 48}
12,2,0.029953718185424805,1,{109: 1},0.02682948112487793,4,"{'113,114': 2, '113': 1, '114,113': 1}",0.02716994285583496,4,"{'113,114': 2, '113': 1, '114,113': 1}",0.03590273857116699,15,"{'5,6': 2, '3,4': 2, '1,2': 2, '2,3': 2, '4,5': 2, '7,8': 2, '0,1': 2, '6,7': 2, '0': 1, '5,4': 1, '6,5': 1, '8,7': 1, '7,6': 1, '3,2': 1, '2,1': 1, '1,0': 1, '4,3': 1}"
12,3,0.04614448547363281,5,"{'10': 3, '10,11': 1, '10,9': 1}",0.03786635398864746,5,"{'114': 3, '114,115': 1, '114,113': 1}",0.030582189559936523,5,"{'114': 3, '114,115': 1, '114,113': 1}",0.04750871658325195,56,"{'61': 3, '61,62': 3, '0,14': 2, '99,100': 2, '62,63': 2, '39,40': 2, '79,91': 2, '40,41': 2, '35,47': 2, '41,53': 2, '80,81': 2, '53,60': 2, '62,72': 2, '60,61': 2, '100,110': 2, '118,119': 2, '72,81': 2, '33,39': 2, '28,35': 2, '45,54': 2, '63,64': 2, '12,17': 2, '91,98': 2, '14,18': 2, '45,46': 2, '18,19': 2, '79,80': 2, '19,20': 2, '110,118': 2, '17,30': 2, '98,99': 2, '29,30': 2, '54,64': 2, '28,29': 2, '20,33': 2, '80,79': 1, '81,80': 1, '62,61': 1, '81,72': 1, '72,62': 1, '63,62': 1, '64,63': 1, '64,54': 1, '54,45': 1, '46,45': 1, '91,79': 1, '119,118': 1, '98,91': 1, '39,33': 1, '17,12': 1, '18,14': 1, '19,18': 1, '20,19': 1, '30,17': 1, '30,29': 1, '29,28': 1, '33,20': 1, '35,28': 1, '40,39': 1, '99,98': 1, '41,40': 1, '47,35': 1, '53,41': 1, '60,53': 1, '61,60': 1, '14,0': 1, '118,110': 1, '110,100': 1, '100,99': 1, '46,47': 1}"
12,4,0.04188895225524902,4,"{'114': 2, '114,113': 1, '114,115': 1}",0.030604124069213867,4,"{'10': 2, '10,9': 1, '10,11': 1}",0.030029296875,4,"{'10': 2, '10,9': 1, '10,11': 1}",0.04082441329956055,25,"{'20,33': 4, '33,39': 4, '37,38': 4, '19,20': 3, '37,52': 2, '52,56': 2, '56,57': 2, '33,20': 2, '39,33': 2, '0,14': 2, '39,38': 2, '38,39': 2, '38,37': 2, '18,19': 2, '14,18': 2, '14,0': 1, '19,18': 1, '19': 1, '20,19': 1, '57,56': 1, '18,14': 1, '56,52': 1, '52,37': 1, '39': 1}"
12,5,0.04388689994812012,4,"{'113': 3, '113,114': 1}",0.0334324836730957,4,"{'9': 3, '9,10': 1}",0.028921127319335938,4,"{'113': 3, '113,114': 1}",0.04290890693664551,23,"{'0': 10, '23,24': 2, '14,18': 2, '21,22': 2, '18,19': 2, '19,20': 2, '22,23': 2, '34,43': 2, '0,14': 2, '24,34': 2, '22,21': 1, '23,22': 1, '24,23': 1, '43,34': 1, '34,24': 1, '20,19': 1, '19,18': 1, '18,14': 1, '14,0': 1, '20,21': 1}"
12,6,0.1878798007965088,6,"{'113': 5, '113,114': 1}",0.04216408729553223,6,"{'9': 5, '9,10': 1}",0.032321929931640625,7,"{'113': 6, '113,114': 1}",0.056005239486694336,34,"{'0': 6, '37': 3, '79,91': 2, '56,57': 2, '58,71': 2, '77,78': 2, '78,79': 2, '14,18': 2, '0,14': 2, '57,58': 2, '37,38': 2, '38,39': 2, '33,39': 2, '20,33': 2, '52,56': 2, '19,20': 2, '18,19': 2, '71,77': 2, '77,71': 1, '58,57': 1, '57,56': 1, '56,52': 1, '71,58': 1, '37,52': 1, '14,0': 1, '78,77': 1, '79,78': 1, '38,37': 1, '39,38': 1, '39,33': 1, '33,20': 1, '20,19': 1, '19,18': 1, '18,14': 1, '91,79': 1}"
12,7,0.043639183044433594,3,{109: 3},0.03563880920410156,3,{13: 3},0.023938894271850586,3,{0: 3},0.017969369888305664,17,{0: 17}
12,8,0.05548596382141113,4,"{'113': 3, '113,114': 1}",0.042647361755371094,4,"{'9': 3, '9,10': 1}",0.03690028190612793,4,"{'9': 3, '9,10': 1}",0.06160473823547363,28,"{'0': 14, '22,23': 2, '1,2': 2, '2,3': 2, '15,22': 2, '3,4': 2, '0,1': 2, '23,24': 2, '4,15': 1, '22,15': 1, '23,22': 1, '4,3': 1, '24,23': 1, '3,2': 1, '2,1': 1, '1,0': 1, '4': 1}"
